societe;annee;cac1;audit;autres
ADP;KPMG;652;622;0;0;E&Y;730;720;0;0
ARKEMA;KPMG;2.1;2.5;0;0;E&Y;2.1;2.8;0;0
ATOS;DELOITTE;5.333;6.475;0.148;0.366;GRAND_THORNTON;3.092;2.941;0;0
BIC;DELOITTE;1.723;1394;0.241;0.199;GRANT_THORNTON;.662;0.675;0;0
BIOMERIEUX;E&Y;1.071;1.072;4;28;DRC_AUTRES;198;211;0;0
BOLLORE;CONSTANTIN;7.999;4.750;0.152;0.182;AEG_Finances;1.140;0.698;.1;0.01
BUREAU_VERITAS;PWC;1.360;1.960;0;0;BELLOT;1.902;.433;0;0
CGG;MAZARD;2.490;NA;.036;NA;E&Y;5.495;NA;0.037;NA
CNP_ASSURANCES;MAZARS;2.373;2.221;0.015;0.015;PWC;1.990;2.234;0.047;0.065
DASSAULT_SYSTEMES;PWC;2.374;2.364;0.035;0.057;E&Y;1.129;1.000;0.086;0.067
EDENRED;DELOITTE;2.8;2.8;0.1;0.1;DIDIER_KLING;0.2;0.2;0;0
AREVA;EY;2.160;0;1.275;0;MAZARS;2.744;2.861;0.030;0.10;AUTRES;1.810;1.058;0.01;0.325;DELOITTE;0;3.283;0;0.260
EIFFAGE;KPMG;2.780;3.285;.294;.258;PWC;2.905;3.156;0.231;0.06
ERAMET;EY;1346+159;1285+97;.185;.328;DELOITTE;1.372+.087;1.4404+.045;.565;1.029;AUTRES;.120+.014;.158+0.024;.203;.109
EULER_HERMES_GROUP;KPMG;3.631;3.454;0.103,0.163;ACE;441;417;0;0
EURAZEO;MAZARS;2.110;2.150;.18;.29;PWC;3.497+4.595;4.721+2.141;.325;.284;AUTRES;1.711;1.117;.638;0.91

