AMF_Name,BB_Name,BB_id
ACCOR,ACCOR,AC:FP
AIRLIQUIDE,AIR LIQUIDE,AI:FP
AIRBUSGROUP*,AIRBUS GROUP,AIR:FP
ALCATELLUCENT,ALCATEL-LUCENT,ALU:FP
ALSTOM,ALSTOM,ALO:FP
AXA,AXA,CS:FP
BOUYGUES,BOUYGUES,EN:FP
CAPGEMINI,CAP GEMINI,CAP:FP
CREDITAGRICOLE,CREDIT AGRICOLE,ACA:FP
DANONE,DANONE,BN:FP
EDF,EDF,EDF:FP
ESSILOR,ESSILOR INTL.,EI:FP
KERING,KERING,KER:FP
L'OREAL,L'OREAL,OR:FP
LAFARGE,LAFARGE,LG:FP
LEGRAND,LEGRAND,LR:FP
LVMH,LVMH,MC:FP
MICHELIN,MICHELIN,ML:FP
ORANGE,ORANGE,ORA:FP
PERNODRICARD,PERNOD RICARD,RI:FP
PUBLICIS,PUBLICIS GROUPE SA,PUB:FP
RENAULT,RENAULT,RNO:FP
SAFRAN,SAFRAN,SAF:FP
SAINTGOBIN,SAINT GOBAIN,SGO:FP
SANOFI,SANOFI,SAN:FP
SCHNEIDER,SCHNEIDER ELECTRIC,SU:FP
SOCIETEGENERALE,SOCIETE GENERALE,GLE:FP
TECHNIP,TECHNIP,TEC:FP
TOTAL,TOTAL,FP:FP
UNIBAILRODAMCO,UNIBAIL-RODAMCO,UL:FP
VALLOUREC,VALLOUREC,VK:FP
VEOLIA,VEOLIA,VIE:FP
VINCI,VINCI,DG:FP
VIVENDI,VIVENDI,VIV:FP
