Name,BB_id
ACCOR,AC:FP
ADP,ADP:FP
AIR FRANCE -KLM,AF:FP
AIR LIQUIDE,AI:FP
AIRBUS GROUP,AIR:FP
ALCATEL-LUCENT,ALU:FP
ALSTOM,ALO:FP
ALTEN,ATE:FP
ALTRAN TECHN.,ALT:FP
APERAM,APAM:FP
ARCELORMITTAL,MTP:FP
AREVA,AREVA:FP
ARKEMA,AKE:FP
ATOS,ATO:FP
AXA,CS:FP
BIC,BB:FP
BIOMERIEUX,BM:FP
BNP PARIBAS ACT.A,BNP:FP
BOLLORE,BOL:FP
BOUYGUES,EN:FP
BUREAU VERITAS,BVI:FP
CAP GEMINI,CAP:FP
CARREFOUR,CA:FP
CASINO GUICHARD,CO:FP
CGG,CGG:FP
CNP ASSURANCES,CNP:FP
CREDIT AGRICOLE,ACA:FP
DANONE,BN:FP
DASSAULT SYSTEMES,DSY:FP
EDENRED,EDEN:FP
EDF,EDF:FP
EIFFAGE,FGR:FP
ERAMET,ERA:FP
ESSILOR INTL.,EI:FP
EULER HERMES GROUP,ELE:FP
EURAZEO,RF:FP
EUROFINS SCIENT.,ERF:FP
EUTELSAT COMMUNIC.,ETL:FP
FAURECIA,EO:FP
GAMELOFT SE,GFT:FP
GDF SUEZ,GSZ:FP
GECINA NOM.,GFC:FP
GEMALTO,GTO:FP
GENFIT,GNFT:FP
GROUPE EUROTUNNEL,GET:FP
GROUPE STERIA,RIA:FP
GTT,GTT:FP
HAVAS,HAV:FP
HERMES INTL,RMS:FP
ICADE,ICAD:FP
ILIAD,ILD:FP
IMERYS,NK:FP
INGENICO,ING:FP
IPSEN,IPN:FP
IPSOS,IPS:FP
JC DECAUX SA.,DEC:FP
KERING,KER:FP
KLEPIERRE,LI:FP
KORIAN-MEDICA,KORI:FP
L'OREAL,OR:FP
LAFARGE,LG:FP
LAGARDERE S.C.A.,MMB:FP
LEGRAND,LR:FP
LVMH,MC:FP
MAUREL ET PROM,MAU:FP
MERCIALYS,MERY:FP
METROPOLE TV,MMT:FP
MICHELIN,ML:FP
MONTUPET,MON:FP
NATIXIS,KN:FP
NEOPOST,NEO:FP
NEXANS,NEX:FP
NEXITY,NXI:FP
NUMERICABLE,NUM:FP
ORANGE,ORA:FP
ORPEA,ORP:FP
PERNOD RICARD,RI:FP
PEUGEOT,UG:FP
PLASTIC OMNIUM,POM:FP
PUBLICIS GROUPE SA,PUB:FP
REMY COINTREAU,RCO:FP
RENAULT,RNO:FP
REXEL,RXL:FP
RUBIS,RUI:FP
S.E.B.,SK:FP
SAFRAN,SAF:FP
SAFT,SAFT:FP
SAINT GOBAIN,SGO:FP
SANOFI,SAN:FP
SARTORIUS STED BIO,DIM:FP
SCHNEIDER ELECTRIC,SU:FP
SCOR SE,SCR:FP
SOCIETE GENERALE,GLE:FP
SODEXO,SW:FP
SOITEC,SOI:FP
SOLOCAL GROUP,LOCAL:FP
STMICROELECTRONICS,STM:FP
SUEZ ENVIRONNEMENT,SEV:FP
TARKETT,TKTT:FP
TECHNICOLOR,TCH:FP
TECHNIP,TEC:FP
TELEPERFORMANCE,RCF:FP
THALES,HO:FP
TOTAL,FP:FP
UBISOFT ENTERTAIN,UBI:FP
UNIBAIL-RODAMCO,UL:FP
VALEO,FR:FP
VALLOUREC,VK:FP
VEOLIA,VIE:FP
VICAT,VCT:FP
VILMORIN & CIE,RIN:FP
VINCI,DG:FP
VIRBAC,VIRP:FP
VIVENDI,VIV:FP
WENDEL,MF:FP
ZODIAC AEROSPACE,ZC:FP
